IMDB ID,Title,Year,Date Published,Genre,Duration,Country,Language,Director,Writer,Production Company,Actors,Avg Rating,# of Ratings,Lifetime_Gross,Lifetime Gross - Adjusted ($),Decade
tt1098327,Dragonball Evolution,2009,2009-04-08,"Action, Adventure, Fantasy",85,"USA, Hong Kong, UK","English, Japanese, Hindi",James Wong,"Ben Ramsey, Akira Toriyama",Twentieth Century Fox,"Justin Chatwin, Yun-Fat Chow, Emmy Rossum, Jamie Chung, James Marsters, Joon Park, Eriko Tamura, Randall Duk Kim, Ernie Hudson, Texas Battle, Megumi Seki, Ian Whyte, Richard Blake, Jon Valera, Rafael Valdez",2.5,67100,"$9,362,785.00","$10,958,766.33",2000-2009
tt1099212,Twilight,2008,2008-12-19,"Drama, Fantasy, Romance",122,USA,English,Catherine Hardwicke,"Melissa Rosenberg, Stephenie Meyer",Summit Entertainment,"Kristen Stewart, Sarah Clarke, Matt Bushell, Billy Burke, Gil Birmingham, Taylor Lautner, Gregory Tyree Boyce, Justin Chon, Michael Welch, Anna Kendrick, Christian Serratos, Nikki Reed, Kellan Lutz, Ashley Greene, Jackson Rathbone",5.2,401601,"$192,769,854.00","$224,826,684.85",2000-2009
tt1100089,Foxcatcher,2014,2015-01-09,"Biography, Drama, Sport",134,USA,"English, French",Bennett Miller,"E. Max Frye, Dan Futterman",Annapurna Pictures,"Steve Carell, Channing Tatum, Mark Ruffalo, Sienna Miller, Vanessa Redgrave, Anthony Michael Hall, Guy Boyd, Brett Rice, Jackson Frazer, Samara Lee, Francis J. Murphy III, Jane Mowder, David 'Doc' Bennett, Lee Perkins, Robert Haramia",7.0,127827,"$12,096,300.00","$12,830,602.88",2010-2019
tt1100119,Shorts,2009,2009-08-21,"Comedy, Family, Fantasy",89,"USA, United Arab Emirates",English,Robert Rodriguez,"Robert Rodriguez, Álvaro Rodríguez",Warner Bros.,"Jimmy Bennett, Jake Short, Kat Dennings, Trevor Gagnon, Devon Gearhart, Jolie Vanier, Rebel Rodriguez, Leo Howard, Leslie Mann, Jon Cryer, William H. Macy, James Spader, Angela Lanza, Alejandro Rose-Garcia, Cambell Westmoreland",4.7,6454,"$20,919,166.00","$24,485,049.28",2000-2009
tt1103153,Killers,2010,2010-06-16,"Action, Comedy, Romance",100,USA,English,Robert Luketic,"Bob DeRosa, Ted Griffin",Lionsgate,"Ashton Kutcher, Katherine Heigl, Tom Selleck, Catherine O'Hara, Katheryn Winnick, Kevin Sussman, Lisa Ann Walter, Casey Wilson, Rob Riggle, Martin Mull, Alex Borstein, Usher Raymond, LeToya Luckett-Walker, Michael Daniel Cassady, Larry Joe Campbell",5.4,83500,"$47,059,963.00","$54,192,895.99",2010-2019
tt1103982,The Girlfriend Experience,2009,2009-12-04,Drama,77,USA,"English, French",Steven Soderbergh,"David Levien, Brian Koppelman",Magnolia Pictures,"Sasha Grey, Chris Santos, Philip Eytan, Colby Trane, Peter Zizzo, Ron Stein, Marshall Gilman, Michael Roberts, Vincent Dellacera, Jim Kempner, David Levien, Mark Jacobson, Alan Milstein, Sukhdev Singh, Ted Jessup",5.5,15297,"$695,840.00","$814,452.96",2000-2009
tt1104733,Hamlet 2,2008,2008-08-27,"Comedy, Music",92,USA,"English, Spanish",Andrew Fleming,"Pam Brady, Andrew Fleming",Bona Fide Productions,"Steve Coogan, Catherine Keener, Joseph Julian Soria, Skylar Astin, Phoebe Strole, Melonie Diaz, Arnie Pantoja, Michael Esparza, Natalie Amenula, Marshall Bell, David Arquette, Elisabeth Shue, Amy Poehler, Shea Pepe, Marco Rodríguez",6.3,16224,"$4,886,216.00","$5,698,773.55",2000-2009
tt1105512,The Missing Person,2009,2009-12-03,Drama,95,USA,"English, Spanish",Noah Buschel,Noah Buschel,The 7th Floor,"Michael Shannon, Frank Wood, Amy Ryan, Linda Emond, John Ventimiglia, Margaret Colin, Paul Sparks, Yul Vazquez, Paul Adelstein, Kate Arrington, Anthony Esposito, Liza Weil, Daniel Franzese, Merritt Wever, Gary Wilmes",6.1,1424,"$17,896.00","$20,946.55",2000-2009
tt1105733,Kismat Konnection,2008,2008-07-18,"Comedy, Drama, Romance",153,India,Hindi,Aziz Mirza,"Sanjay Chhel, Sai Kabir",Tips Films Pvt. Ltd.,"Shahid Kapoor, Vidya Balan, Vishal Malhotra, Om Puri, Himani Shivpuri, Haidar Ali, Shehnaz Anand, Juhi Chawla, Karanvir Bohra, Amit Varma, Dimple Sharma, Hyder Ali, Boman Irani, Shah Rukh Khan, Liliia Sverginsky",5.2,4895,"$490,154.00","$571,664.59",2000-2009
tt1105747,Yuvvraaj,2008,2008-11-21,"Comedy, Drama, Romance",151,India,Hindi,Subhash Ghai,"Sachin Bhowmick, Subhash Ghai",Eros International,"Salman Khan, Anil Kapoor, Zayed Khan, Mithun Chakraborty, Katrina Kaif, Boman Irani, Bhupinder Singh, Aushima Sawhney, Sulabha Arya, Aimee Maghera, Jaqueline Garewal, Shyam Mashalkar, Anjan Srivastav, Aparna Kumar, S.J. Anand",4.1,3707,"$570,090.00","$664,893.61",2000-2009
